ah11a1, 9.99995302(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.452858902381509e-13, \""ximag\"": 9.999953023381296e-08, \""u\"": [9.552919495134425e-15, 5.532740353504006e-15], \""v\"": [9.125827088051936e-29, 9.419542876425988e-31, 9.419542876425988e-31, 3.061121581929163e-29], \""df\"": 371.5741928652269, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995591(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.290688745130672e-14, \""ximag\"": 9.999955911709218e-08, \""u\"": [9.535783776668266e-15, 5.5320794227249794e-15], \""v\"": [9.09311722353697e-29, 9.381347863064323e-31, 9.381347863064323e-31, 3.0603902739337144e-29], \""df\"": 369.29517853186627, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931411713963e-13, \""ximag\"": 9.99995864e-07, \""u\"": [4.774628544811521e-14, 5.499977252e-14], \""v\"": [2.2797077740928986e-27, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 62.01609896221519, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9996060(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.5123161046130824e-13, \""ximag\"": 9.999960598533609e-07, \""u\"": [4.8013179077338084e-14, 5.5122998026155554e-14], \""v\"": [2.3052653651125355e-27, 6.95214102701823e-31, 6.95214102701823e-31, 3.038544911391549e-27], \""df\"": 62.900379826339446, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995391(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.9578918264811345e-13, \""ximag\"": 9.999953905923417e-08, \""u\"": [9.545547309372931e-15, 5.532393501166049e-15], \""v\"": [9.11174734354768e-29, 9.43169370233115e-31, 9.43169370233115e-31, 3.060737785174434e-29], \""df\"": 370.58985989480163, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99995211(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.731712869441444e-13, \""ximag\"": 9.999952113266769e-08, \""u\"": [9.488682284218801e-15, 5.5311476012586374e-15], \""v\"": [9.003509149084772e-29, 9.433537741697107e-31, 9.433537741697107e-31, 3.0593593786909177e-29], \""df\"": 363.12873473481466, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995780(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.6269559621021042e-12, \""ximag\"": 9.999957803067857e-07, \""u\"": [4.803487600799055e-14, 5.512709883140438e-14], \""v\"": [2.3073493131030264e-27, 6.79529538397219e-31, 6.79529538397219e-31, 3.0389970255674265e-27], \""df\"": 62.95637563511891, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996679(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -7.087294562279681e-13, \""ximag\"": 9.99996679294885e-07, \""u\"": [4.8013207803858305e-14, 5.5123032143678146e-14], \""v\"": [2.30526812361648e-27, 6.947634989058462e-31, 6.947634989058462e-31, 3.038548672712974e-27], \""df\"": 62.90037766547172, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500049604(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.516504093910846e-13, \""ximag\"": 5.00049604072521e-09, \""u\"": [5.793863642820585e-16, 2.7704622255160735e-16], \""v\"": [3.3568855911598216e-31, 7.057261533536983e-33, 7.057261533536983e-33, 7.675460943011475e-32], \""df\"": 732.844790735191, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993644(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.6622129930875995e-12, \""ximag\"": 4.999936439249323e-08, \""u\"": [4.182863831752946e-15, 2.7597367226415224e-15], \""v\"": [1.749634983498694e-29, 2.133331458621676e-31, 2.133331458621676e-31, 7.616146778296171e-30], \""df\"": 240.2045133097976, \""label\"": null}"", ""flag"": ""best value set""}"
es16, 5.00009612(28),"{""relu"": 0.01, ""name"": ""ES16"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [6e-10, 1.85e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.5373127259993016e-12, \""ximag\"": 5.0000961208164206e-08, \""u\"": [4.1830041183716345e-15, 2.7598127461990024e-15], \""v\"": [1.7497523454314055e-29, 2.119237886937654e-31, 2.119237886937654e-31, 7.61656639408248e-30], \""df\"": 240.20466317269822, \""label\"": null}"", ""flag"": ""best value set""}"
gr10, 10.00015675(55),"{""relu"": 0.01, ""name"": ""GR10"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.1790173154708214e-13, \""ximag\"": 1.0000156753233787e-07, \""u\"": [8.365955712579637e-15, 5.519592582913348e-15], \""v\"": [6.998921498484387e-29, 8.504562003604428e-31, 8.504562003604428e-31, 3.046590228135205e-29], \""df\"": 240.20218824106615, \""label\"": null}"", ""flag"": ""best value set""}"
