Date,23-Oct-25
Reference,p80 E005 cap scale,cap inject 5
w,1.00E+04
r1,-0.113816,0.016367
r2,-0.081616,0.016367
r3,0.090916,-0.139567
r4,0.011126,-0.148004
r5,0.013926,-0.160294
r6,0.011856,-0.138794
r7,0.010136,-0.139904
r8,0.215916,-0.164567
r9,0.011136,-0.148904
r10,0.009136,-0.146204
r11,0.011836,-0.160924
r12,0.002836,-0.160087
r13,-0.419036,-0.155577
r14,-0.326736,-0.103177
r15,-0.161916,-0.098967
Conditions
AH1,29.8,0.029
AH2,29.4,0.029
GRin,23.62952,0.000329
GRout,23.60904,0.000252
AB1,21.05,0.01
Sball,23.45604,0.001677
Perm,23.1427,0.001677
Barom,996.05,0.05
