Date,06-Nov-25
Reference,p86 E005 cap scale,cap inject 5
w,1.00E+04
r1,-0.113870,0.016387
r2,-0.081560,0.016387
r3,0.089940,-0.138087
r4,0.011140,-0.150577
r5,0.013940,-0.162877
r6,0.011993,-0.140277
r7,0.010273,-0.140947
r8,0.214273,-0.163647
r9,0.011173,-0.150747
r10,0.009073,-0.145547
r11,0.011773,-0.160247
r12,0.002793,-0.159467
r13,-0.418593,-0.154877
r14,-0.326893,-0.103067
r15,-0.161973,-0.098257
Conditions
AH1,29.9,0.029
AH2,29.5,0.029
GRin,23.63119,0.0000169
GRout,23.60801,0.00046
AB1,21.05,0.01
Sball,23.45572,0.002459
Perm,23.14352,0.001651
Barom,1013.86,0.01
