Date,05-Dec-25
Reference,p94 E005 cap scale,cap inject 5
w,1.00E+04
r1,-0.113885,+0.016437
r2,-0.081795,+0.016467
r3,+0.090375,-0.137967
r4,+0.011215,-0.148897
r5,+0.014015,-0.162477
r6,+0.012135,-0.137957
r7,+0.010415,-0.138477
r8,+0.215715,-0.163597
r9,+0.011235,-0.148727
r10,+0.009135,-0.145627
r11,+0.011835,-0.160427
r12,+0.002735,-0.159597
r13,-0.418915,-0.156497
r14,-0.327175,-0.103107
r15,-0.158975,-0.098907
Conditions
AH1,29.8,0.029
AH2,29.5,0.029
GRin,23.63383,0.000485
GRout,23.60921,0.000385
AB1,21.05,0.01
Sball,23.45647,0.002422
Perm,23.14326,0.001005
Barom,1019.63,0.01
