Date,12-Apr-22
Reference,p147 KJ Lab Diary 2,cap inject 10
w,1.00E+04
r1,-0.05560,0.00895
r2,-0.040740,0.00890
r3,0.074570,-0.151400
r4,0.009600,-0.167320
r5,0.012250,-0.178300
r6,0.009700,-0.156240
r7,0.007220,-0.156120
r8,0.296060,-0.175270
r9,0.009520,-0.163390
r10,0.010100,-0.161410
r11,0.013650,-0.173650
r12,0.005550,-0.173140
r13,-0.444750,-0.168960
r14,-0.340730,-0.115340
r15,-0.182880,-0.109350
Conditions
AH1,29.4,0.029
AH2,28.7,0.029
GRin,25.17095,0.00026
GRout,25.12196,0.00059
AB1,20.00,0.01
Sball,23.0284,0.0053
Perm,23.7235,0.0018
Barom,1010.41,0.05
