ah11a1, 9.99995162(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.302646613788392e-13, \""ximag\"": 9.999951623679551e-08, \""u\"": [9.552918757184446e-15, 5.532739149332504e-15], \""v\"": [9.125825678136641e-29, 9.418451554623851e-31, 9.418451554623851e-31, 3.061120249455656e-29], \""df\"": 371.57425049913337, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995426(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.0042510774333658e-13, \""ximag\"": 9.999954257710274e-08, \""u\"": [9.535782758811643e-15, 5.532078283308542e-15], \""v\"": [9.093115282324938e-29, 9.380722582398265e-31, 9.380722582398265e-31, 3.060389013265398e-29], \""df\"": 369.2952405632184, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995846(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931357282973e-13, \""ximag\"": 9.999958460000001e-07, \""u\"": [4.774628458867852e-14, 5.499977153000001e-14], \""v\"": [2.2797076920230797e-27, 0.0, 0.0, 3.0249748683521993e-27], \""df\"": 62.0160989622152, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9995753(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.389163063358673e-12, \""ximag\"": 9.999957534154804e-07, \""u\"": [4.801316494289767e-14, 5.512298122409819e-14], \""v\"": [2.305264007833898e-27, 6.964601030733676e-31, 6.964601030733676e-31, 3.0385430590322815e-27], \""df\"": 62.900381265029196, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995116(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -7.124155229609303e-15, \""ximag\"": 9.999951157042836e-08, \""u\"": [9.545545497413363e-15, 5.532391675447726e-15], \""v\"": [9.111743884318853e-29, 9.430943465807465e-31, 9.430943465807465e-31, 3.06073576505633e-29], \""df\"": 370.5899516071026, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99994870(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.800528130928121e-14, \""ximag\"": 9.999948704381511e-08, \""u\"": [9.488679947719749e-15, 5.531145468581599e-15], \""v\"": [9.003504715025886e-29, 9.432918776948313e-31, 9.432918776948313e-31, 3.0593570194610755e-29], \""df\"": 363.12883863868024, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995401(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.0763540080044396e-13, \""ximag\"": 9.999954005727791e-07, \""u\"": [4.8034858349862046e-14, 5.512707779029709e-14], \""v\"": [2.3073476166913114e-27, 6.809530489929629e-31, 6.809530489929629e-31, 3.0389947056974665e-27], \""df\"": 62.95637653568775, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996100(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.30660499079532e-13, \""ximag\"": 9.999960998254365e-07, \""u\"": [4.801318090039113e-14, 5.512300021850447e-14], \""v\"": [2.3052655401736835e-27, 6.954421776837691e-31, 6.954421776837691e-31, 3.0385451530892437e-27], \""df\"": 62.900379598898255, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500047911(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.2376457202376132e-14, \""ximag\"": 5.000479113413208e-09, \""u\"": [5.81028038856856e-16, 2.7720746100218086e-16], \""v\"": [3.3759358193784417e-31, 7.086124779014678e-33, 7.086124779014678e-33, 7.684397643527562e-32], \""df\"": 740.5728333974077, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993601(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 5.535164321346574e-14, \""ximag\"": 4.9999360063729745e-08, \""u\"": [4.182208685139411e-15, 2.759669955802635e-15], \""v\"": [1.7490869486055518e-29, 2.127502282602003e-31, 2.127502282602003e-31, 7.615778264959717e-30], \""df\"": 240.081047044732, \""label\"": null}"", ""flag"": ""best value set""}"
