Date,19 September 2019
Reference,KJ Lab Diary2 p.97
w,1e4
r1,1.094600,-0.165900
r2,0.815000,0.170600
r3,0.072400,-0.144200
r4,0.008780,-0.156500
r5,0.011420,-0.164080
r6,0.008090,-0.146670
r7,0.005460,-0.146840
r8,0.218560,-0.161000
r9,0.008810,-0.157400
r10,0.010150,-0.152400
r11,0.013400,-0.166030
r12,0.008000,-0.164330
r13,-0.409750,-0.162070
r14,-0.313900,-0.102450
r15,-0.164010,-0.098400
Conditions
AH1,28.8,0.029
AH2,28.5,0.029
GRin,23.75469,0.000238
GRout,23.7339,0.001102
AB1,20.00,0.01
Sball,22.94601,0.00399
Perm,23.59758,0.001724
Barom,1032.39,0.05
