Date,4 October 2019
Reference,KJ Lab Diary2 p.103
w,1e4
r1,1.094600,-0.17030
r2,0.815110,0.169800
r3,0.072320,-0.146820
r4,0.008830,-0.159300
r5,0.011490,-0.163500
r6,0.008100,-0.147400
r7,0.005480,-0.150500
r8,0.219800,-0.165580
r9,0.008820,-0.158100
r10,0.010130,-0.153600
r11,0.013430,-0.170600
r12,0.008260,-0.167800
r13,-0.410520,-0.160600
r14,-0.313680,-0.109740
r15,-0.164020,-0.103310
Conditions
AH1,28.9,0.029
AH2,28.5,0.029
GRin,23.75348,0.000162
GRout,23.73218,0.001066
AB1,20.00,0.01
Sball,22.94777,0.003915
Perm,23.59333,0.001519
Barom,1014.86,0.05
