Date,10-Sep-21
Reference,KJ Lab Diary 2 p.139
w,1.00E+04
r1,1.107000,-0.174300
r2,0.814600,-0.174900
r3,0.073820,-0.149380
r4,0.009170,-0.160580
r5,0.011870,-0.171550
r6,0.008870,-0.149500
r7,0.006530,-0.151660
r8,0.219590,-0.167700
r9,0.009210,-0.161500
r10,0.010130,-0.160790
r11,0.013620,-0.173650
r12,0.007020,-0.172920
r13,-0.414670,-0.167720
r14,-0.317560,-0.113960
r15,-0.163160,-0.107500
Conditions
AH1,29.0,0.029
AH2,28.4,0.029
GRin,23.84515,0.00022
GRout,23.82709,0.00059
AB1,20.00,0.01
Sball,23.0372,0.0059
Perm,23.7255,0.0041
Barom,998.02,0.05
