ah11a1, 9.99995048(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.1196950899313169e-13, \""ximag\"": 9.999950484905936e-08, \""u\"": [9.552917662962014e-15, 5.5327389030016105e-15], \""v\"": [9.125823587533163e-29, 9.41940688220749e-31, 9.41940688220749e-31, 3.0611199768787464e-29], \""df\"": 371.57426862146303, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995368(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.205075311345021e-15, \""ximag\"": 9.999953676263766e-08, \""u\"": [9.535782102249794e-15, 5.532078254742879e-15], \""v\"": [9.093114030158749e-29, 9.381497013363879e-31, 9.381497013363879e-31, 3.0603889816599016e-29], \""df\"": 369.29524177970114, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931411713963e-13, \""ximag\"": 9.99995864e-07, \""u\"": [4.774628544811521e-14, 5.499977252e-14], \""v\"": [2.2797077740928986e-27, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 62.01609896221519, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9995713(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -2.41544876977163e-13, \""ximag\"": 9.999957127689974e-07, \""u\"": [4.801316301987013e-14, 5.5122978946972994e-14], \""v\"": [2.3052638231726246e-27, 6.951408338961834e-31, 6.951408338961834e-31, 3.0385428079884278e-27], \""df\"": 62.900381219619604, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995080(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.5186698248315682e-13, \""ximag\"": 9.999950796817914e-08, \""u\"": [9.545545064974232e-15, 5.532391716714373e-15], \""v\"": [9.111743058745392e-29, 9.43151481970457e-31, 9.43151481970457e-31, 3.0607358107169805e-29], \""df\"": 370.589951751713, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99994815(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.508543338770738e-13, \""ximag\"": 9.999948152821301e-08, \""u\"": [9.488679233914902e-15, 5.531145747940885e-15], \""v\"": [9.00350336041279e-29, 9.434233207251063e-31, 9.434233207251063e-31, 3.0593573284964536e-29], \""df\"": 363.1288422881779, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995369(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.3145382273081267e-12, \""ximag\"": 9.99995369036396e-07, \""u\"": [4.80348570438889e-14, 5.512707617825131e-14], \""v\"": [2.3073474912268433e-27, 6.797856261053311e-31, 6.797856261053311e-31, 3.038994527962723e-27], \""df\"": 62.956377313781665, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996057(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.2233754562507363e-12, \""ximag\"": 9.999960572850126e-07, \""u\"": [4.801317905643841e-14, 5.512299798294187e-14], \""v\"": [2.3052653631056157e-27, 6.943467615432157e-31, 6.943467615432157e-31, 3.0385449066274137e-27], \""df\"": 62.90038030788376, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500048049(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.5684550717492343e-15, \""ximag\"": 5.000480486258526e-09, \""u\"": [5.810281672786933e-16, 2.7720761852726548e-16], \""v\"": [3.375937311712372e-31, 7.086854404395224e-33, 7.086854404395224e-33, 7.684406376955794e-32], \""df\"": 740.5727994887731, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993439(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -8.587715656837546e-14, \""ximag\"": 4.999934392980705e-08, \""u\"": [4.1822071816699415e-15, 2.7596693183365837e-15], \""v\"": [1.7490856910411635e-29, 2.1277804773480047e-31, 2.1277804773480047e-31, 7.615774746568304e-30], \""df\"": 240.0810411842507, \""label\"": null}"", ""flag"": ""best value set""}"
