ah11a1, 9.99995067(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -2.5211813938353817e-14, \""ximag\"": 9.999950671502337e-08, \""u\"": [9.552917871935874e-15, 5.5327388625645965e-15], \""v\"": [9.125823986795182e-29, 9.419064326063099e-31, 9.419064326063099e-31, 3.0611199321332584e-29], \""df\"": 371.57426562043753, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995482(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.415012725135765e-13, \""ximag\"": 9.999954817098272e-08, \""u\"": [9.535783161172457e-15, 5.5320785347605665e-15], \""v\"": [9.093116049690018e-29, 9.380561123572292e-31, 9.380561123572292e-31, 3.060389291475862e-29], \""df\"": 369.2952204700191, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931411713963e-13, \""ximag\"": 9.99995864e-07, \""u\"": [4.774628544811521e-14, 5.499977252e-14], \""v\"": [2.2797077740928986e-27, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 62.01609896221519, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9995777(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 6.231135601508123e-13, \""ximag\"": 9.999957774409251e-07, \""u\"": [4.801316601157323e-14, 5.5122982493230954e-14], \""v\"": [2.305264110454891e-27, 6.9584037908108725e-31, 6.9584037908108725e-31, 3.0385431989490463e-27], \""df\"": 62.90038093644696, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995201(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.841582010647493e-14, \""ximag\"": 9.999952009989085e-08, \""u\"": [9.54554610510429e-15, 5.532392089023273e-15], \""v\"": [9.111745044467167e-29, 9.430804388852711e-31, 9.430804388852711e-31, 3.0607362226687295e-29], \""df\"": 370.58992160445354, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99994816(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.2320357124698116e-13, \""ximag\"": 9.999948163668328e-08, \""u\"": [9.488679412371078e-15, 5.531145343935805e-15], \""v\"": [9.003503699075475e-29, 9.433333538030628e-31, 9.433333538030628e-31, 3.059356881574274e-29], \""df\"": 363.1288442702226, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995430(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -6.905326436300659e-13, \""ximag\"": 9.999954298053903e-07, \""u\"": [4.803485976008515e-14, 5.5127079440542234e-14], \""v\"": [2.3073477521710474e-27, 6.802978896081889e-31, 6.802978896081889e-31, 3.0389948876438542e-27], \""df\"": 62.956376654433505, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996153(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -6.013908044683992e-13, \""ximag\"": 9.999961530669792e-07, \""u\"": [4.801318341913505e-14, 5.5123003180921726e-14], \""v\"": [2.3052657820395046e-27, 6.948499946433607e-31, 6.948499946433607e-31, 3.0385454796839065e-27], \""df\"": 62.90037959727691, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500048124(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.3342747513093274e-14, \""ximag\"": 5.000481244071382e-09, \""u\"": [5.810282939442477e-16, 2.772075892074811e-16], \""v\"": [3.3759387836376316e-31, 7.086080857729068e-33, 7.086080857729068e-33, 7.68440475142236e-32], \""df\"": 740.5728762194631, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993501(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.9246263087294347e-14, \""ximag\"": 4.999935011764116e-08, \""u\"": [4.182207818105113e-15, 2.759669423005487e-15], \""v\"": [1.749086223381953e-29, 2.1275138586553876e-31, 2.1275138586553876e-31, 7.615775324271437e-30], \""df\"": 240.08104203679042, \""label\"": null}"", ""flag"": ""best value set""}"
