ah11a1,9.99994994(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv1"", ""z"": ""{\""xreal\"": 0.302, \""ximag\"": 0.00616, \""u\"": [0.0151, 0.000308], \""v\"": [0.00022801, 0.0, 0.0, 9.486400000000001e-08], \""df\"": Infinity, \""label\"": \""ah11lv1 z\""}"", ""y"": ""{\""xreal\"": 2e-10, \""ximag\"": 9.36e-07, \""u\"": [1.0000000000000001e-11, 4.68e-08], \""v\"": [1.0000000000000002e-22, 0.0, 0.0, 2.1902400000000003e-15], \""df\"": Infinity, \""label\"": \""ah11lv1 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11hv1"", ""z"": ""{\""xreal\"": 0.286, \""ximag\"": 0.00782, \""u\"": [0.0143, 0.00039100000000000007], \""v\"": [0.00020449000000000002, 0.0, 0.0, 1.5288100000000006e-07], \""df\"": Infinity, \""label\"": \""ah11hv1 z\""}"", ""y"": ""{\""xreal\"": 2.8e-10, \""ximag\"": 2.552e-06, \""u\"": [1.4000000000000002e-11, 1.276e-07], \""v\"": [1.9600000000000004e-22, 0.0, 0.0, 1.628176e-14], \""df\"": Infinity, \""label\"": \""ah11hv1 y\""}""}, ""best_value"": ""{\""xreal\"": 7.499262268687289e-14, \""ximag\"": 9.999949940044026e-08, \""u\"": [3.119236291098101e-14, 5.537103779454805e-15], \""v\"": [9.729635039703438e-28, 9.957860108941455e-31, 9.957860108941455e-31, 3.0659518264452683e-29], \""df\"": 59.34858845539665, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1,9.99995256(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv1"", ""z"": ""{\""xreal\"": 0.302, \""ximag\"": 0.00616, \""u\"": [0.0151, 0.000308], \""v\"": [0.00022801, 0.0, 0.0, 9.486400000000001e-08], \""df\"": Infinity, \""label\"": \""ah11lv1 z\""}"", ""y"": ""{\""xreal\"": 2e-10, \""ximag\"": 9.36e-07, \""u\"": [1.0000000000000001e-11, 4.68e-08], \""v\"": [1.0000000000000002e-22, 0.0, 0.0, 2.1902400000000003e-15], \""df\"": Infinity, \""label\"": \""ah11lv1 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11hv1"", ""z"": ""{\""xreal\"": 0.286, \""ximag\"": 0.00782, \""u\"": [0.0143, 0.00039100000000000007], \""v\"": [0.00020449000000000002, 0.0, 0.0, 1.5288100000000006e-07], \""df\"": Infinity, \""label\"": \""ah11hv1 z\""}"", ""y"": ""{\""xreal\"": 2.8e-10, \""ximag\"": 2.552e-06, \""u\"": [1.4000000000000002e-11, 1.276e-07], \""v\"": [1.9600000000000004e-22, 0.0, 0.0, 1.628176e-14], \""df\"": Infinity, \""label\"": \""ah11hv1 y\""}""}, ""best_value"": ""{\""xreal\"": 1.610167248756517e-13, \""ximag\"": 9.999952563893794e-08, \""u\"": [3.118712656957961e-14, 5.536443494559096e-15], \""v\"": [9.726368636669784e-28, 9.912587223570547e-31, 9.912587223570547e-31, 3.065220656844573e-29], \""df\"": 59.3087847708659, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1,99.9995810(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11hv1"", ""z"": ""{\""xreal\"": 0.286, \""ximag\"": 0.00782, \""u\"": [0.0143, 0.00039100000000000007], \""v\"": [0.00020449000000000002, 0.0, 0.0, 1.5288100000000006e-07], \""df\"": Infinity, \""label\"": \""ah11hv1 z\""}"", ""y"": ""{\""xreal\"": 2.8e-10, \""ximag\"": 2.552e-06, \""u\"": [1.4000000000000002e-11, 1.276e-07], \""v\"": [1.9600000000000004e-22, 0.0, 0.0, 1.628176e-14], \""df\"": Infinity, \""label\"": \""ah11hv1 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11hv2"", ""z"": ""{\""xreal\"": 0.16, \""ximag\"": 0.0083, \""u\"": [0.008, 0.000415], \""v\"": [6.4e-05, 0.0, 0.0, 1.72225e-07], \""df\"": Infinity, \""label\"": \""ah11hv2 z\""}"", ""y"": ""{\""xreal\"": 3e-10, \""ximag\"": 2.606e-06, \""u\"": [1.5e-11, 1.3030000000000002e-07], \""v\"": [2.25e-22, 0.0, 0.0, 1.6978090000000007e-14], \""df\"": Infinity, \""label\"": \""ah11hv2 y\""}""}, ""best_value"": ""{\""xreal\"": 1.8999920389999998e-12, \""ximag\"": 9.9999581e-07, \""u\"": [2.99998743e-13, 5.4999769550000004e-14], \""v\"": [8.999924580158005e-26, 0.0, 0.0, 3.0249746505531076e-27], \""df\"": 50.839329581450464, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1,99.9995678(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv2"", ""z"": ""{\""xreal\"": 0.273, \""ximag\"": 0.011009999999999999, \""u\"": [0.013650000000000002, 0.0005505], \""v\"": [0.00018632250000000006, 0.0, 0.0, 3.0305025e-07], \""df\"": Infinity, \""label\"": \""ah11lv2 z\""}"", ""y"": ""{\""xreal\"": 3.6e-10, \""ximag\"": 1.6979999999999999e-06, \""u\"": [1.8000000000000002e-11, 8.49e-08], \""v\"": [3.240000000000001e-22, 0.0, 0.0, 7.20801e-15], \""df\"": Infinity, \""label\"": \""ah11lv2 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""100 to 1ah11hv2"", ""z"": ""{\""xreal\"": 0.197, \""ximag\"": 0.016399999999999998, \""u\"": [0.009850000000000001, 0.00082], \""v\"": [9.702250000000003e-05, 0.0, 0.0, 6.724e-07], \""df\"": Infinity, \""label\"": \""100 to 1ah11hv2 z\""}"", ""y"": ""{\""xreal\"": 6.400000000000001e-10, \""ximag\"": 3.13e-06, \""u\"": [3.2000000000000006e-11, 1.565e-07], \""v\"": [1.0240000000000003e-21, 0.0, 0.0, 2.449225e-14], \""df\"": Infinity, \""label\"": \""100 to 1ah11hv2 y\""}""}, ""best_value"": ""{\""xreal\"": 2.454113953891162e-12, \""ximag\"": 9.999956775480776e-07, \""u\"": [3.101505605016683e-13, 5.535717803778053e-14], \""v\"": [9.6193370179499e-26, 4.877952015089991e-29, 4.877952015089991e-29, 3.064417160306531e-27], \""df\"": 58.021534539963405, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2,9.99994917(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv1"", ""z"": ""{\""xreal\"": 0.302, \""ximag\"": 0.00616, \""u\"": [0.0151, 0.000308], \""v\"": [0.00022801, 0.0, 0.0, 9.486400000000001e-08], \""df\"": Infinity, \""label\"": \""ah11lv1 z\""}"", ""y"": ""{\""xreal\"": 2e-10, \""ximag\"": 9.36e-07, \""u\"": [1.0000000000000001e-11, 4.68e-08], \""v\"": [1.0000000000000002e-22, 0.0, 0.0, 2.1902400000000003e-15], \""df\"": Infinity, \""label\"": \""ah11lv1 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11hv1"", ""z"": ""{\""xreal\"": 0.286, \""ximag\"": 0.00782, \""u\"": [0.0143, 0.00039100000000000007], \""v\"": [0.00020449000000000002, 0.0, 0.0, 1.5288100000000006e-07], \""df\"": Infinity, \""label\"": \""ah11hv1 z\""}"", ""y"": ""{\""xreal\"": 2.8e-10, \""ximag\"": 2.552e-06, \""u\"": [1.4000000000000002e-11, 1.276e-07], \""v\"": [1.9600000000000004e-22, 0.0, 0.0, 1.628176e-14], \""df\"": Infinity, \""label\"": \""ah11hv1 y\""}""}, ""best_value"": ""{\""xreal\"": -8.765189256992302e-15, \""ximag\"": 9.999949171215588e-08, \""u\"": [3.119010332593854e-14, 5.536756246183634e-15], \""v\"": [9.728225454827226e-28, 9.97756936259369e-31, 9.97756936259369e-31, 3.0655669729653484e-29], \""df\"": 59.33143181608201, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2,9.99994659(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv1"", ""z"": ""{\""xreal\"": 0.302, \""ximag\"": 0.00616, \""u\"": [0.0151, 0.000308], \""v\"": [0.00022801, 0.0, 0.0, 9.486400000000001e-08], \""df\"": Infinity, \""label\"": \""ah11lv1 z\""}"", ""y"": ""{\""xreal\"": 2e-10, \""ximag\"": 9.36e-07, \""u\"": [1.0000000000000001e-11, 4.68e-08], \""v\"": [1.0000000000000002e-22, 0.0, 0.0, 2.1902400000000003e-15], \""df\"": Infinity, \""label\"": \""ah11lv1 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11hv1"", ""z"": ""{\""xreal\"": 0.286, \""ximag\"": 0.00782, \""u\"": [0.0143, 0.00039100000000000007], \""v\"": [0.00020449000000000002, 0.0, 0.0, 1.5288100000000006e-07], \""df\"": Infinity, \""label\"": \""ah11hv1 z\""}"", ""y"": ""{\""xreal\"": 2.8e-10, \""ximag\"": 2.552e-06, \""u\"": [1.4000000000000002e-11, 1.276e-07], \""v\"": [1.9600000000000004e-22, 0.0, 0.0, 1.628176e-14], \""df\"": Infinity, \""label\"": \""ah11hv1 y\""}""}, ""best_value"": ""{\""xreal\"": 6.525545120309289e-15, \""ximag\"": 9.999946589875161e-08, \""u\"": [3.1172739627317004e-14, 5.535510915871152e-15], \""v\"": [9.717396958724999e-28, 9.978419073543097e-31, 9.978419073543097e-31, 3.064188109972868e-29], \""df\"": 59.20016899909223, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2,99.9995346(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv2"", ""z"": ""{\""xreal\"": 0.273, \""ximag\"": 0.011009999999999999, \""u\"": [0.013650000000000002, 0.0005505], \""v\"": [0.00018632250000000006, 0.0, 0.0, 3.0305025e-07], \""df\"": Infinity, \""label\"": \""ah11lv2 z\""}"", ""y"": ""{\""xreal\"": 3.6e-10, \""ximag\"": 1.6979999999999999e-06, \""u\"": [1.8000000000000002e-11, 8.49e-08], \""v\"": [3.240000000000001e-22, 0.0, 0.0, 7.20801e-15], \""df\"": Infinity, \""label\"": \""ah11lv2 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""100 to 1ah11hv2"", ""z"": ""{\""xreal\"": 0.197, \""ximag\"": 0.016399999999999998, \""u\"": [0.009850000000000001, 0.00082], \""v\"": [9.702250000000003e-05, 0.0, 0.0, 6.724e-07], \""df\"": Infinity, \""label\"": \""100 to 1ah11hv2 z\""}"", ""y"": ""{\""xreal\"": 6.400000000000001e-10, \""ximag\"": 3.13e-06, \""u\"": [3.2000000000000006e-11, 1.565e-07], \""v\"": [1.0240000000000003e-21, 0.0, 0.0, 2.449225e-14], \""df\"": Infinity, \""label\"": \""100 to 1ah11hv2 y\""}""}, ""best_value"": ""{\""xreal\"": 4.411090150864146e-13, \""ximag\"": 9.999953457466408e-07, \""u\"": [3.1018780157431303e-13, 5.536116904189369e-14], \""v\"": [9.62164722455054e-26, 4.8800146225573913e-29, 4.8800146225573913e-29, 3.064859037685128e-27], \""df\"": 58.04938579851162, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2,99.9995919(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""ah11lv2"", ""z"": ""{\""xreal\"": 0.273, \""ximag\"": 0.011009999999999999, \""u\"": [0.013650000000000002, 0.0005505], \""v\"": [0.00018632250000000006, 0.0, 0.0, 3.0305025e-07], \""df\"": Infinity, \""label\"": \""ah11lv2 z\""}"", ""y"": ""{\""xreal\"": 3.6e-10, \""ximag\"": 1.6979999999999999e-06, \""u\"": [1.8000000000000002e-11, 8.49e-08], \""v\"": [3.240000000000001e-22, 0.0, 0.0, 7.20801e-15], \""df\"": Infinity, \""label\"": \""ah11lv2 y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""100 to 1ah11hv2"", ""z"": ""{\""xreal\"": 0.197, \""ximag\"": 0.016399999999999998, \""u\"": [0.009850000000000001, 0.00082], \""v\"": [9.702250000000003e-05, 0.0, 0.0, 6.724e-07], \""df\"": Infinity, \""label\"": \""100 to 1ah11hv2 z\""}"", ""y"": ""{\""xreal\"": 6.400000000000001e-10, \""ximag\"": 3.13e-06, \""u\"": [3.2000000000000006e-11, 1.565e-07], \""v\"": [1.0240000000000003e-21, 0.0, 0.0, 2.449225e-14], \""df\"": Infinity, \""label\"": \""100 to 1ah11hv2 y\""}""}, ""best_value"": ""{\""xreal\"": 6.397425849362518e-13, \""ximag\"": 9.999959187553774e-07, \""u\"": [3.1015063271720157e-13, 5.535719213966688e-14], \""v\"": [9.619341497488047e-26, 4.894279648614241e-29, 4.894279648614241e-29, 3.0644187215879965e-27], \""df\"": 58.0215326932646, \""label\"": null}"", ""flag"": ""best value set""}"
es14,0.500047510(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""no lead"", ""z"": ""{\""xreal\"": 0.0, \""ximag\"": 0.0, \""u\"": [0.0, 0.0], \""v\"": [0.0, 0.0, 0.0, 0.0], \""df\"": Infinity, \""label\"": \""no lead z\""}"", ""y"": ""{\""xreal\"": 0.0, \""ximag\"": 0.0, \""u\"": [0.0, 0.0], \""v\"": [0.0, 0.0, 0.0, 0.0], \""df\"": Infinity, \""label\"": \""no lead y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""no lead"", ""z"": ""{\""xreal\"": 0.0, \""ximag\"": 0.0, \""u\"": [0.0, 0.0], \""v\"": [0.0, 0.0, 0.0, 0.0], \""df\"": Infinity, \""label\"": \""no lead z\""}"", ""y"": ""{\""xreal\"": 0.0, \""ximag\"": 0.0, \""u\"": [0.0, 0.0], \""v\"": [0.0, 0.0, 0.0, 0.0], \""df\"": Infinity, \""label\"": \""no lead y\""}""}, ""best_value"": ""{\""xreal\"": -9.536007314488141e-14, \""ximag\"": 5.000475099920999e-09, \""u\"": [1.5938595429235169e-15, 2.7726527195808256e-16], \""v\"": [2.540388242568362e-30, 7.261473685883789e-33, 7.261473685883789e-33, 7.687603103398949e-32], \""df\"": 64.6643986701503, \""label\"": null}"", ""flag"": ""best value set""}"
es13,4.99993632(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""lv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""no lead"", ""z"": ""{\""xreal\"": 0.0, \""ximag\"": 0.0, \""u\"": [0.0, 0.0], \""v\"": [0.0, 0.0, 0.0, 0.0], \""df\"": Infinity, \""label\"": \""no lead z\""}"", ""y"": ""{\""xreal\"": 0.0, \""ximag\"": 0.0, \""u\"": [0.0, 0.0], \""v\"": [0.0, 0.0, 0.0, 0.0], \""df\"": Infinity, \""label\"": \""no lead y\""}""}, ""hv_lead"": {""relu"": 0.05, ""w"": 10000.0, ""label"": ""100 to 1"", ""z"": ""{\""xreal\"": 0.037, \""ximag\"": 0.0081, \""u\"": [0.00185, 0.000405], \""v\"": [3.4225000000000003e-06, 0.0, 0.0, 1.64025e-07], \""df\"": Infinity, \""label\"": \""100 to 1 z\""}"", ""y"": ""{\""xreal\"": 3.4e-10, \""ximag\"": 5.24e-07, \""u\"": [1.7000000000000003e-11, 2.62e-08], \""v\"": [2.890000000000001e-22, 0.0, 0.0, 6.8644e-16], \""df\"": Infinity, \""label\"": \""100 to 1 y\""}""}, ""best_value"": ""{\""xreal\"": -9.459632241120798e-13, \""ximag\"": 4.9999363229994906e-08, \""u\"": [1.5424629398240406e-14, 2.7619065261695204e-15], \""v\"": [2.379191920730622e-28, 2.308735647358984e-31, 2.308735647358984e-31, 7.628127659297788e-30], \""df\"": 56.79919075492917, \""label\"": null}"", ""flag"": ""best value set""}"
