ah11a1,9.99995213(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.834831061961425e-13, \""ximag\"": 9.999952125972547e-08, \""u\"": [3.1119969354315295e-14, 5.532739244662525e-15], \""v\"": [9.684524926135231e-28, 9.412427239977719e-31, 9.412427239977719e-31, 3.0611203549428845e-29], \""df\"": 58.80264200361789, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1,9.99995482(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.012611016673904e-13, \""ximag\"": 9.999954817069244e-08, \""u\"": [3.1114720979253124e-14, 5.5320783445308984e-15], \""v\"": [9.681258616167744e-28, 9.364281125356445e-31, 9.364281125356445e-31, 3.0603890810027725e-29], \""df\"": 58.76302168395653, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1,99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.8999921415999998e-12, \""ximag\"": 9.99995864e-07, \""u\"": [2.999987592e-13, 5.499977252e-14], \""v\"": [8.999925552153957e-26, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 50.839329581450464, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1,99.9995923(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.710065320292136e-12, \""ximag\"": 9.99995922884371e-07, \""u\"": [3.0004136897495535e-13, 5.5122990639283576e-14], \""v\"": [9.00248230963653e-26, 5.351595544260098e-31, 5.351595544260098e-31, 3.0385440970185448e-27], \""df\"": 50.87220974685404, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2,9.99995201(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.881756044887243e-13, \""ximag\"": 9.999952009993994e-08, \""u\"": [3.1117706533572056e-14, 5.532391898537138e-15], \""v\"": [9.68311659909513e-28, 9.433158847327699e-31, 9.433158847327699e-31, 3.0607360118999364e-29], \""df\"": 58.78556435306051, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2,9.99994816(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.655615154628646e-14, \""ximag\"": 9.999948163698052e-08, \""u\"": [3.1100298553578115e-14, 5.5311451536643e-15], \""v\"": [9.67228570121693e-28, 9.449312823911842e-31, 9.449312823911842e-31, 3.059356671090407e-29], \""df\"": 58.65490783563912, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2,99.9995575(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.3964178532474117e-12, \""ximag\"": 9.999955752528236e-07, \""u\"": [3.000447395529713e-13, 5.512708739603968e-14], \""v\"": [9.002684573341039e-26, 6.343802781513165e-31, 6.343802781513165e-31, 3.038995764770597e-27], \""df\"": 50.87468723606961, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2,99.9996299(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.4855619371122527e-12, \""ximag\"": 9.999962985142598e-07, \""u\"": [3.0004148154872716e-13, 5.5123011160028566e-14], \""v\"": [9.002489064995518e-26, 6.415825617735995e-31, 6.415825617735995e-31, 3.038546359348634e-27], \""df\"": 50.87220965366645, \""label\"": null}"", ""flag"": ""best value set""}"
es14,0.500048124(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.1331543539022114e-14, \""ximag\"": 5.000481244064771e-09, \""u\"": [1.5909187390356533e-15, 2.7720755118605007e-16], \""v\"": [2.531022434214793e-30, 7.083924606174052e-33, 7.083924606174052e-33, 7.684402643456657e-32], \""df\"": 64.19166975054263, \""label\"": null}"", ""flag"": ""best value set""}"
es13,4.99993501(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.2912549823472334e-13, \""ximag\"": 4.999935011770254e-08, \""u\"": [1.5387846079951495e-14, 2.7596693275570235e-15], \""v\"": [2.367858069802786e-28, 2.12911365019438e-31, 2.12911365019438e-31, 7.615774797459035e-30], \""df\"": 56.262543272446486, \""label\"": null}"", ""flag"": ""best value set""}"
