ah11a1, 9.99995295(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 8.532042374603847e-14, \""ximag\"": 9.999952953510272e-08, \""u\"": [3.111997181909671e-14, 5.532740006071433e-15], \""v\"": [9.684526460213734e-28, 9.43059461488504e-31, 9.43059461488504e-31, 3.0611211974783326e-29], \""df\"": 58.8026413955414, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995566(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 8.647184088696842e-14, \""ximag\"": 9.999955659347029e-08, \""u\"": [3.111472345469164e-14, 5.532079277999925e-15], \""v\"": [9.68126015661938e-28, 9.393139930218475e-31, 9.393139930218475e-31, 3.0603901138076175e-29], \""df\"": 58.763020939300276, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.8999921415999998e-12, \""ximag\"": 9.99995864e-07, \""u\"": [2.999987592e-13, 5.499977252e-14], \""v\"": [8.999925552153957e-26, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 50.839329581450464, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9996060(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.9067006018606544e-12, \""ximag\"": 9.999960602575013e-07, \""u\"": [3.0004141013364216e-13, 5.5122998086778145e-14], \""v\"": [9.002484779498447e-26, 6.049808245032418e-31, 6.049808245032418e-31, 3.038544918074947e-27], \""df\"": 50.87220970372197, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995350(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -2.6534903521008076e-13, \""ximag\"": 9.999953498143143e-08, \""u\"": [3.1117710956106637e-14, 5.53239351457852e-15], \""v\"": [9.68311935147799e-28, 9.474736880866698e-31, 9.474736880866698e-31, 3.060737800015046e-29], \""df\"": 58.78556333258572, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99995205(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.119035021987038e-13, \""ximag\"": 9.99995205028565e-08, \""u\"": [3.110031035502217e-14, 5.531147552474223e-15], \""v\"": [9.672293041786993e-28, 9.46292904483747e-31, 9.46292904483747e-31, 3.059359324724159e-29], \""df\"": 58.65490586942629, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995785(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.3959648083931177e-12, \""ximag\"": 9.999957847321618e-07, \""u\"": [3.000448023349613e-13, 5.5127098911707544e-14], \""v\"": [9.002688340822598e-26, 7.213189299329925e-31, 7.213189299329925e-31, 3.038997034421187e-27], \""df\"": 50.874687187988044, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996678(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 9.948952152677043e-13, \""ximag\"": 9.999966782523578e-07, \""u\"": [3.000415953836049e-13, 5.512303207743836e-14], \""v\"": [9.002495896033887e-26, 7.711382699980833e-31, 7.711382699980833e-31, 3.0385486654102984e-27], \""df\"": 50.872209585703104, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500049623(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -8.691060759788303e-15, \""ximag\"": 5.000496225678278e-09, \""u\"": [1.590923498600612e-15, 2.772086499413158e-16], \""v\"": [2.5310375783996115e-30, 7.098698534876782e-33, 7.098698534876782e-33, 7.684463560228697e-32], \""df\"": 64.19167176411766, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993609(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -6.284330474864884e-14, \""ximag\"": 4.9999360871161864e-08, \""u\"": [1.5387849336844926e-14, 2.7596702528517776e-15], \""v\"": [2.3678590721343885e-28, 2.1379130963962423e-31, 2.1379130963962423e-31, 7.615779904474995e-30], \""df\"": 56.26254293833832, \""label\"": null}"", ""flag"": ""best value set""}"
es16, 5.00009625(28),"{""relu"": 0.01, ""name"": ""ES16"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [6e-10, 1.85e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -5.340891557920979e-14, \""ximag\"": 5.0000962530630904e-08, \""u\"": [1.5388743565610616e-14, 2.7598666871223824e-15], \""v\"": [2.368134285281221e-28, 2.1375374348942155e-31, 2.1375374348942155e-31, 7.616864130687875e-30], \""df\"": 56.26843866721728, \""label\"": null}"", ""flag"": ""best value set""}"
gr10, 10.00015555(55),"{""relu"": 0.01, ""name"": ""GR10"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.984066999645144e-13, \""ximag\"": 1.000015554598204e-07, \""u\"": [3.0776924278997964e-14, 5.519591675866807e-15], \""v\"": [9.472190680751744e-28, 8.507388064634944e-31, 8.507388064634944e-31, 3.046589226829815e-29], \""df\"": 56.26513925110776, \""label\"": null}"", ""flag"": ""best value set""}"
gr100, 100.0038820(55),"{""relu"": 0.01, ""name"": ""GR100"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [7e-10, 4.8372e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.55383440151478e-12, \""ximag\"": 1.0000388202488949e-06, \""u\"": [3.0423977450232287e-13, 5.511858025074299e-14], \""v\"": [9.256184038922427e-26, 1.9361483061877956e-29, 1.9361483061877956e-29, 3.0380578888575955e-27], \""df\"": 53.7428432726305, \""label\"": null}"", ""flag"": ""best value set""}"
gr1000a, 1000.030149(56),"{""relu"": 0.01, ""name"": ""GR1000A"", ""nom_cap"": [0.0, 1e-09], ""yhv"": [0.0, 1.386e-09], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 7.921630217345968e-11, \""ximag\"": 1.0000301485233087e-05, \""u\"": [3.1067264514160637e-12, 5.603598184705534e-13], \""v\"": [9.651749243928248e-24, 8.158671430677945e-27, 8.158671430677945e-27, 3.140031261563515e-25], \""df\"": 58.42705269877023, \""label\"": null}"", ""flag"": ""best value set""}"
gr1000b, 1000.013692(56),"{""relu"": 0.01, ""name"": ""GR1000B"", ""nom_cap"": [0.0, 1e-09], ""yhv"": [0.0, 1.386e-09], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 9.40765909564119e-11, \""ximag\"": 1.0000136924419874e-05, \""u\"": [3.106676344269384e-12, 5.603505617772879e-13], \""v\"": [9.651437908042986e-24, 8.144831563197818e-27, 8.144831563197818e-27, 3.139927520841222e-25], \""df\"": 58.42712822331664, \""label\"": null}"", ""flag"": ""best value set""}"
es13_16, 10.00003234(55),"{""relu"": 0.01, ""name"": ""ES13ES16"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.08e-09, 4.948e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.1625222032785863e-13, \""ximag\"": 1.0000032340179277e-07, \""u\"": [3.077654476890473e-14, 5.5195231930793844e-15], \""v\"": [9.471957079123971e-28, 8.545191417873015e-31, 8.545191417873015e-31, 3.046513627894124e-29], \""df\"": 56.26513691280582, \""label\"": null}"", ""flag"": ""best value set""}"
