ah11a1,9.99995418(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.984281241753337e-13, \""ximag\"": 9.999954175879926e-08, \""u\"": [3.11199756737818e-14, 5.532740075343687e-15], \""v\"": [9.684528859367712e-28, 9.392726423394696e-31, 9.392726423394696e-31, 3.061121274131407e-29], \""df\"": 58.80264132575961, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1,9.99995681(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 5.685886849443155e-13, \""ximag\"": 9.999956809885916e-08, \""u\"": [3.111472711403801e-14, 5.532079223508278e-15], \""v\"": [9.681262433810521e-28, 9.34894538362824e-31, 9.34894538362824e-31, 3.0603900535171955e-29], \""df\"": 58.76302101749131, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1,99.9995846(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.8999921074e-12, \""ximag\"": 9.999958460000001e-07, \""u\"": [2.999987538e-13, 5.499977153000001e-14], \""v\"": [8.999925228155302e-26, 0.0, 0.0, 3.0249748683521993e-27], \""df\"": 50.83932958145046, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1,99.9995753(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.986761889332787e-12, \""ximag\"": 9.999957534136874e-07, \""u\"": [3.00041318150846e-13, 5.512298122510017e-14], \""v\"": [9.002479259769718e-26, 5.9802243781753425e-31, 5.9802243781753425e-31, 3.0385430591427456e-27], \""df\"": 50.872209761493544, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2,9.99995371(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.6103925518376017e-13, \""ximag\"": 9.999953709293864e-08, \""u\"": [3.111771177023634e-14, 5.532392574492135e-15], \""v\"": [9.683119858155054e-28, 9.417315124381223e-31, 9.417315124381223e-31, 3.060736759829571e-29], \""df\"": 58.78556377774512, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2,9.99995126(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.501580347618647e-13, \""ximag\"": 9.999951256637276e-08, \""u\"": [3.110030807340619e-14, 5.531146364541067e-15], \""v\"": [9.672291622607743e-28, 9.420569747149469e-31, 9.420569747149469e-31, 3.0593580105975864e-29], \""df\"": 58.654906737306, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2,99.9995401(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.705233663138445e-12, \""ximag\"": 9.99995400573025e-07, \""u\"": [3.0004468719060767e-13, 5.51270777903159e-14], \""v\"": [9.002681431130961e-26, 6.944433723054811e-31, 6.944433723054811e-31, 3.0389947056995407e-27], \""df\"": 50.87468727096751, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2,99.9996100(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.7282598784765548e-12, \""ximag\"": 9.999960998256546e-07, \""u\"": [3.000414219799466e-13, 5.512300021851925e-14], \""v\"": [9.002485490374837e-26, 7.074002805125174e-31, 7.074002805125174e-31, 3.038545153090873e-27], \""df\"": 50.87220968593005, \""label\"": null}"", ""flag"": ""best value set""}"
es14,0.500048167(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.1207720543390914e-14, \""ximag\"": 5.000481665856219e-09, \""u\"": [1.5909188932533922e-15, 2.772074813406416e-16], \""v\"": [2.5310229249105984e-30, 7.074171742158429e-33, 7.074171742158429e-33, 7.684398771122215e-32], \""df\"": 64.19167154591248, \""label\"": null}"", ""flag"": ""best value set""}"
es13,4.99993728(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 2.3943188680397957e-13, \""ximag\"": 4.9999372824880524e-08, \""u\"": [1.5387853106294144e-14, 2.7596703991677534e-15], \""v\"": [2.3678602322088635e-28, 2.1240593842154396e-31, 2.1240593842154396e-31, 7.615780712042707e-30], \""df\"": 56.26254358262951, \""label\"": null}"", ""flag"": ""best value set""}"
