Date,07-Jul-25
Reference,cap scale
w,1.00E+04
r1,1.13772,-0.16033
r2,0.817592,-0.157683
r3,0.091054,-0.128774
r4,0.011734,-0.144675
r5,0.014484,-0.158405
r6,0.012624,-0.133755
r7,0.010784,-0.131325
r8,0.213894,-0.143574
r9,0.011724,-0.142365
r10,0.009704,-0.137865
r11,0.012324,-0.144275
r12,0.003534,-0.153525
r13,-0.417095,-0.147455
r14,-0.326084,-0.100855
r15,-0.158076,-0.095665
Conditions
AH1,30.2,0.029
AH2,29.7,0.029
GRin,23.63084,0.00030
GRout,23.60320,0.00047
AB1,20.00,0.01
Sball,23.4634,0.0020
Perm,23.1447,0.0014
Barom,1031.18,0.05
