Date,08-Jul-25
Reference,p56 E005 cap scale,cap inject 5
w,1.00E+04
r1,-0.113776,0.016015
r2,-0.081736,0.013515
r3,0.090826,-0.120045
r4,0.011755,-0.147475
r5,0.014455,-0.151855
r6,0.012285,-0.116745
r7,0.010835,-0.131715
r8,0.214006,-0.161575
r9,0.011745,-0.146055
r10,0.009775,-0.141435
r11,0.012535,-0.156485
r12,0.003605,-0.160545
r13,-0.417255,-0.137355
r14,-0.326065,-0.108625
r15,-0.161576,-0.093865
Conditions
AH1,30.2,0.029
AH2,29.7,0.029
GRin,23.63029,0.00025
GRout,23.60337,0.00116
AB1,21.05,0.01
Sball,23.4634,0.002
Perm,23.1447,0.0014
Barom,1031.08,0.05
