ah11a1, 9.99995294(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.4625558401701573e-13, \""ximag\"": 9.999952935390085e-08, \""u\"": [9.552919429923473e-15, 5.532740306747085e-15], \""v\"": [9.125826963460942e-29, 9.419546558934086e-31, 9.419546558934086e-31, 3.0611215301903825e-29], \""df\"": 371.5741954396475, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995569(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -7.773274525211188e-15, \""ximag\"": 9.999955685682657e-08, \""u\"": [9.535783566215219e-15, 5.532079377279153e-15], \""v\"": [9.093116822170024e-29, 9.381547774543328e-31, 9.381547774543328e-31, 3.0603902236517304e-29], \""df\"": 369.2951831277219, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931411713963e-13, \""ximag\"": 9.99995864e-07, \""u\"": [4.774628544811521e-14, 5.499977252e-14], \""v\"": [2.2797077740928986e-27, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 62.01609896221519, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9996065(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 9.480159574526927e-13, \""ximag\"": 9.999960654077458e-07, \""u\"": [4.80131793579672e-14, 5.512299834145142e-14], \""v\"": [2.3052653920603274e-27, 6.961033607368428e-31, 6.961033607368428e-31, 3.038544946151656e-27], \""df\"": 62.90037988192839, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995383(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -2.5497217642799926e-13, \""ximag\"": 9.999953830293142e-08, \""u\"": [9.545547209408576e-15, 5.532393564981847e-15], \""v\"": [9.111747152704786e-29, 9.431927471580427e-31, 9.431927471580427e-31, 3.060737855785255e-29], \""df\"": 370.58986136429775, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99995200(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -2.755638689518691e-13, \""ximag\"": 9.999951999372506e-08, \""u\"": [9.488682122888914e-15, 5.53114772129185e-15], \""v\"": [9.003508842923167e-29, 9.433942213159953e-31, 9.433942213159953e-31, 3.0593595114752024e-29], \""df\"": 363.12873667827523, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995804(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.0146920819844864e-13, \""ximag\"": 9.999958035337835e-07, \""u\"": [4.803487690635121e-14, 5.512709993240028e-14], \""v\"": [2.3073493994083128e-27, 6.8111241919871245e-31, 6.8111241919871245e-31, 3.038997146956847e-27], \""df\"": 62.95637469326114, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996683(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -6.187111724539897e-13, \""ximag\"": 9.99996683259824e-07, \""u\"": [4.801320797960302e-14, 5.5123032353872254e-14], \""v\"": [2.3052681404926155e-27, 6.948363185070323e-31, 6.948363185070323e-31, 3.0385486958860473e-27], \""df\"": 62.90037761238, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500049631(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.1766138220292687e-14, \""ximag\"": 5.000496311902396e-09, \""u\"": [5.79384998249679e-16, 2.770469595338109e-16], \""v\"": [3.3568697619678054e-31, 7.076104734550537e-33, 7.076104734550537e-33, 7.675501778692906e-32], \""df\"": 732.8398473479994, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993627(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -9.014300580276902e-14, \""ximag\"": 4.999936272470883e-08, \""u\"": [4.182858985864782e-15, 2.7597175881530343e-15], \""v\"": [1.7496309295629754e-29, 2.1263070508583283e-31, 2.1263070508583283e-31, 7.616041166361201e-30], \""df\"": 240.20217387485715, \""label\"": null}"", ""flag"": ""best value set""}"
es16, 5.00009629(28),"{""relu"": 0.01, ""name"": ""ES16"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [6e-10, 1.85e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -9.856178507665494e-14, \""ximag\"": 5.0000962921794504e-08, \""u\"": [4.182993438134691e-15, 2.7598067796887403e-15], \""v\"": [1.7497434103477883e-29, 2.1264600177362724e-31, 2.1264600177362724e-31, 7.616533461215935e-30], \""df\"": 240.20234361901552, \""label\"": null}"", ""flag"": ""best value set""}"
gr10, 10.00015544(55),"{""relu"": 0.01, ""name"": ""GR10"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -4.1406612258509625e-14, \""ximag\"": 1.0000155441228846e-07, \""u\"": [8.365954451260593e-15, 5.519592102832314e-15], \""v\"": [6.998919388056693e-29, 8.505189707985769e-31, 8.505189707985769e-31, 3.0465896981648847e-29], \""df\"": 240.20218430052165, \""label\"": null}"", ""flag"": ""best value set""}"
gr100, 100.0038803(55),"{""relu"": 0.01, ""name"": ""GR100"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [7e-10, 4.8372e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.2276659154071396e-12, \""ximag\"": 1.0000388028478756e-06, \""u\"": [6.953245900916563e-14, 5.511857973680986e-14], \""v\"": [4.8347628558612985e-27, 1.9489490154015953e-29, 1.9489490154015953e-29, 3.038057832203067e-27], \""df\"": 139.19530476251398, \""label\"": null}"", ""flag"": ""best value set""}"
gr1000a, 1000.030150(56),"{""relu"": 0.01, ""name"": ""GR1000A"", ""nom_cap"": [0.0, 1e-09], ""yhv"": [0.0, 1.386e-09], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 7.101205349772009e-11, \""ximag\"": 1.0000301501091179e-05, \""u\"": [9.376516116580144e-13, 5.603598314608645e-13], \""v\"": [8.791905448448719e-25, 8.208152183717644e-27, 8.208152183717644e-27, 3.1400314071484843e-25], \""df\"": 351.80347129660726, \""label\"": null}"", ""flag"": ""best value set""}"
gr1000b, 1000.013342(56),"{""relu"": 0.01, ""name"": ""GR1000B"", ""nom_cap"": [0.0, 1e-09], ""yhv"": [0.0, 1.386e-09], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 7.630188746770371e-11, \""ximag\"": 1.0000133423950256e-05, \""u\"": [9.376392801229576e-13, 5.603503869572642e-13], \""v\"": [8.791674196294981e-25, 8.207699609948649e-27, 8.207699609948649e-27, 3.1399255616315566e-25], \""df\"": 351.8077500024704, \""label\"": null}"", ""flag"": ""best value set""}"
es13_16, 10.00003256(55),"{""relu"": 0.01, ""name"": ""ES13ES16"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.08e-09, 4.948e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.8870479087942396e-13, \""ximag\"": 1.0000032564650333e-07, \""u\"": [8.365850697383064e-15, 5.5195233416855074e-15], \""v\"": [6.998745789090469e-29, 8.505562836492239e-31, 8.505562836492239e-31, 3.046513791941115e-29], \""df\"": 240.2020647140443, \""label\"": null}"", ""flag"": ""best value set""}"
