Date,23-Oct-25
Reference,cap scale
w,1.00E+04
r1,1.13816,-0.16367
r2,0.81616,-0.16367
r3,0.090916,-0.139567
r4,0.011126,-0.148004
r5,0.013926,-0.160294
r6,0.011856,-0.138794
r7,0.010136,-0.139904
r8,0.215916,-0.164567
r9,0.011136,-0.148904
r10,0.009136,-0.14620
r11,0.011836,-0.160924
r12,0.002836,-0.160087
r13,-0.419036,-0.155577
r14,-0.326736,-0.103177
r15,-0.161916,-0.098967
Conditions
AH1,30.2,0.029
AH2,29.7,0.029
GRin,23.9040,0.00025
GRout,23.8825,0.00116
AB1,21.05,0.01
Sball,23.5,0.1
Perm,23.51,0.05
Barom,999.93,0.01
