Date,01-Dec-25
Reference,cap scale,cap inject 5
w,1.00E+04
r1,-0.113805,0.016507
r2,-0.081605,0.016577
r3,0.090405,-0.137777
r4,0.011195,-0.150577
r5,0.014095,-0.164277
r6,0.012095,-0.139777
r7,0.010395,-0.140497
r8,0.215895,-0.157497
r9,0.011085,-0.140747
r10,0.009145,-0.145447
r11,0.011855,-0.159637
r12,0.002855,-0.159567
r13,-0.419255,-0.154567
r14,-0.327135,-0.100987
r15,-0.162055,-0.098667
Conditions
AH1,30.1,0.029
AH2,29.7,0.029
GRin,23.63278,0.000269
GRout,23.60696,0.000815
AB1,21.05,0.01
Sball,23.45692,0.001796
Perm,23.14232,0.001759
Barom,1001.14,0.01
