ah11a1, 9.99995315(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -8.110042502952767e-14, \""ximag\"": 9.99995315366891e-08, \""u\"": [9.552919642545836e-15, 5.532740316606747e-15], \""v\"": [9.125827369693806e-29, 9.419289449571644e-31, 9.419289449571644e-31, 3.061121541100573e-29], \""df\"": 371.5741905637095, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995593(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.2898654994503035e-14, \""ximag\"": 9.99995593404216e-08, \""u\"": [9.53578379301333e-15, 5.532079434123135e-15], \""v\"": [9.09311725470957e-29, 9.381347954661017e-31, 9.381347954661017e-31, 3.060390286544815e-29], \""df\"": 369.2951778438645, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931411713963e-13, \""ximag\"": 9.99995864e-07, \""u\"": [4.774628544811521e-14, 5.499977252e-14], \""v\"": [2.2797077740928986e-27, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 62.01609896221519, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9996061(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 4.467738993180572e-13, \""ximag\"": 9.999960613038832e-07, \""u\"": [4.801317914170264e-14, 5.5122998097419216e-14], \""v\"": [2.3052653712932294e-27, 6.956978711834723e-31, 6.956978711834723e-31, 3.0385449192480825e-27], \""df\"": 62.90037979227765, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995390(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.7265483202204548e-13, \""ximag\"": 9.999953903085917e-08, \""u\"": [9.54554732514829e-15, 5.53239345835746e-15], \""v\"": [9.111747373664568e-29, 9.431602285582923e-31, 9.431602285582923e-31, 3.060737737807642e-29], \""df\"": 370.5898603255249, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99995219(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.5784474135407173e-13, \""ximag\"": 9.999952189000115e-08, \""u\"": [9.488682352060692e-15, 5.531147615506953e-15], \""v\"": [9.003509277830803e-29, 9.433477316582302e-31, 9.433477316582302e-31, 3.0593593944528254e-29], \""df\"": 363.12873288451067, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995794(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.030008456215695e-12, \""ximag\"": 9.999957942174572e-07, \""u\"": [4.803487655386002e-14, 5.5127099504907336e-14], \""v\"": [2.3073493655445712e-27, 6.800195202903814e-31, 6.800195202903814e-31, 3.0389970998239546e-27], \""df\"": 62.95637512550757, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996694(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -9.414001758780578e-13, \""ximag\"": 9.99996694365495e-07, \""u\"": [4.8013208526770785e-14, 5.512303299739367e-14], \""v\"": [2.305268193035175e-27, 6.945752828861294e-31, 6.945752828861294e-31, 3.0385487668317515e-27], \""df\"": 62.900377727512506, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500049674(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.9325916544767507e-15, \""ximag\"": 5.000496735873806e-09, \""u\"": [5.793850706906744e-16, 2.770469332096761e-16], \""v\"": [3.3568706013923775e-31, 7.075594391886317e-33, 7.075594391886317e-33, 7.675500320088672e-32], \""df\"": 732.8398846208602, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993610(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -2.39305750329827e-14, \""ximag\"": 4.999936097299726e-08, \""u\"": [4.1828588955745e-15, 2.7597173741690556e-15], \""v\"": [1.7496308540286727e-29, 2.1261759798695216e-31, 2.1261759798695216e-31, 7.616039985290547e-30], \""df\"": 240.20217384717446, \""label\"": null}"", ""flag"": ""best value set""}"
