Date,07-Apr-22
Reference,cap scale
w,1.00E+04
r1,1.111200,-0.17900
r2,0.81480,-0.17800
r3,0.074570,-0.151400
r4,0.009600,-0.167320
r5,0.012250,-0.178300
r6,0.009700,-0.156240
r7,0.007220,-0.156120
r8,0.296060,-0.175270
r9,0.009520,-0.163390
r10,0.010100,-0.161410
r11,0.013650,-0.173650
r12,0.005550,-0.173140
r13,-0.444750,-0.168960
r14,-0.340730,-0.115340
r15,-0.182880,-0.109350
Conditions
AH1,29.4,0.029
AH2,28.7,0.029
GRin,25.17452,0.00042
GRout,25.12858,0.00108
AB1,20.00,0.01
Sball,23.0284,0.0062
Perm,23.7222,0.0029
Barom,1010.41,0.05
