ah11a1, 9.99995158(55),"{""relu"": 0.01, ""name"": ""AH11A1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [7.2e-10, 1.208e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.518414428320579e-14, \""ximag\"": 9.999951577681099e-08, \""u\"": [9.552918527028539e-15, 5.532739379121247e-15], \""v\"": [9.12582523840451e-29, 9.419105274604737e-31, 9.419105274604737e-31, 3.061120503727896e-29], \""df\"": 371.5742386392214, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b1, 9.99995423(55),"{""relu"": 0.01, ""name"": ""AH11B1"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [2.48e-09, 8.36e-11], ""ylv"": [7e-10, 1.175e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 7.579248595456559e-14, \""ximag\"": 9.999954229065818e-08, \""u\"": [9.53578257170069e-15, 5.532078449931466e-15], \""v\"": [9.093114925475062e-29, 9.381215026035359e-31, 9.381215026035359e-31, 3.060389197619613e-29], \""df\"": 369.295228742487, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c1, 99.9995864(55),"{""relu"": 0.01, ""name"": ""AH11C1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [2.06e-09, 1.0409999999999998e-10], ""ylv"": [5.7e-10, 8.77e-11], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 3.023931411713963e-13, \""ximag\"": 9.99995864e-07, \""u\"": [4.774628544811521e-14, 5.499977252e-14], \""v\"": [2.2797077740928986e-27, 0.0, 0.0, 3.0249749772517473e-27], \""df\"": 62.01609896221519, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d1, 99.9995812(55),"{""relu"": 0.01, ""name"": ""AH11D1"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 8.581462936101817e-13, \""ximag\"": 9.99995812357946e-07, \""u\"": [4.801316764044209e-14, 5.512298442234121e-14], \""v\"": [2.3052642668691953e-27, 6.960305359237556e-31, 6.960305359237556e-31, 3.038543411625672e-27], \""df\"": 62.90038085126158, \""label\"": null}"", ""flag"": ""best value set""}"
ah11a2, 9.99995168(55),"{""relu"": 0.01, ""name"": ""AH11A2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 8.42e-11], ""ylv"": [4.3e-10, 1.191e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.4549638056901676e-13, \""ximag\"": 9.999951682362386e-08, \""u\"": [9.545545719012152e-15, 5.532392193997022e-15], \""v\"": [9.111744307375122e-29, 9.431491146341583e-31, 9.431491146341583e-31, 3.060736338819918e-29], \""df\"": 370.5899260108922, \""label\"": null}"", ""flag"": ""best value set""}"
ah11b2, 9.99994921(55),"{""relu"": 0.01, ""name"": ""AH11B2"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [1.62e-09, 7.78e-11], ""ylv"": [4e-10, 1.129e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -1.429789575180303e-13, \""ximag\"": 9.999949210283915e-08, \""u\"": [9.488680168005316e-15, 5.531145955379564e-15], \""v\"": [9.00350513306974e-29, 9.433413468743841e-31, 9.433413468743841e-31, 3.0593575579711715e-29], \""df\"": 363.12881517657604, \""label\"": null}"", ""flag"": ""best value set""}"
ah11c2, 99.9995458(55),"{""relu"": 0.01, ""name"": ""AH11C2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.96e-09, 1.012e-10], ""ylv"": [5.6e-10, 1.0479999999999999e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.714765662803608e-13, \""ximag\"": 9.999954576858776e-07, \""u\"": [4.8034861017945923e-14, 5.512708094724581e-14], \""v\"": [2.307347873013381e-27, 6.805598049520481e-31, 6.805598049520481e-31, 3.0389950537641925e-27], \""df\"": 62.956376403696815, \""label\"": null}"", ""flag"": ""best value set""}"
ah11d2, 99.9996268(55),"{""relu"": 0.01, ""name"": ""AH11D2"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [1.91e-09, 1.024e-10], ""ylv"": [3.1e-10, 1.019e-10], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.1539448628553276e-13, \""ximag\"": 9.99996267991081e-07, \""u\"": [4.8013188721101006e-14, 5.5123009482274125e-14], \""v\"": [2.305266291168061e-27, 6.950814251709081e-31, 6.950814251709081e-31, 3.038546174382883e-27], \""df\"": 62.900379061385614, \""label\"": null}"", ""flag"": ""best value set""}"
es14, 0.500048167(28),"{""relu"": 0.01, ""name"": ""ES14"", ""nom_cap"": [0.0, 5e-13], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.27217315682613e-15, \""ximag\"": 5.000481666652049e-09, \""u\"": [5.794214049067934e-16, 2.7707231607452273e-16], \""v\"": [3.3572916446416225e-31, 7.073640480123477e-33, 7.073640480123477e-33, 7.676906833490023e-32], \""df\"": 732.7579327558351, \""label\"": null}"", ""flag"": ""best value set""}"
es13, 4.99993410(28),"{""relu"": 0.01, ""name"": ""ES13"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [8e-10, 2.05e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -4.093357409821729e-14, \""ximag\"": 4.999934098342188e-08, \""u\"": [4.182794633726501e-15, 2.7596752619325964e-15], \""v\"": [1.7495770947931213e-29, 2.1261540217358755e-31, 2.1261540217358755e-31, 7.615807551322745e-30], \""df\"": 240.20210026985015, \""label\"": null}"", ""flag"": ""best value set""}"
es16, 5.00008275(28),"{""relu"": 0.01, ""name"": ""ES16"", ""nom_cap"": [0.0, 5e-12], ""yhv"": [6e-10, 1.85e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": -3.6804664209564974e-14, \""ximag\"": 5.000082753620166e-08, \""u\"": [4.1830437846674955e-15, 2.7598399638953004e-15], \""v\"": [1.7497855304445365e-29, 2.126390743242719e-31, 2.126390743242719e-31, 7.616716626313612e-30], \""df\"": 240.20222433233954, \""label\"": null}"", ""flag"": ""best value set""}"
gr10, 10.00023841(55),"{""relu"": 0.01, ""name"": ""GR10"", ""nom_cap"": [0.0, 1e-11], ""yhv"": [0.0, 0.0], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.5968737934066164e-13, \""ximag\"": 1.0000238409101535e-07, \""u\"": [8.366025043644221e-15, 5.519639004962162e-15], \""v\"": [6.99903750308823e-29, 8.504535513877632e-31, 8.504535513877632e-31, 3.046641474509969e-29], \""df\"": 240.20232987335044, \""label\"": null}"", ""flag"": ""best value set""}"
gr100, 100.0041356(55),"{""relu"": 0.01, ""name"": ""GR100"", ""nom_cap"": [0.0, 9.999999999999999e-11], ""yhv"": [7e-10, 4.8372e-10], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 1.3400747836260681e-12, \""ximag\"": 1.0000413560225102e-06, \""u\"": [6.95326413802234e-14, 5.511872849879727e-14], \""v\"": [4.8347882173107556e-27, 1.9489389333819454e-29, 1.9489389333819454e-29, 3.0380742313241265e-27], \""df\"": 139.19535726907034, \""label\"": null}"", ""flag"": ""best value set""}"
gr1000a, 1000.031537(56),"{""relu"": 0.01, ""name"": ""GR1000A"", ""nom_cap"": [0.0, 1e-09], ""yhv"": [0.0, 1.386e-09], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 6.805883800424412e-11, \""ximag\"": 1.0000315372928843e-05, \""u\"": [9.376526322189034e-13, 5.60360622352737e-13], \""v\"": [8.791924587070381e-25, 8.208283500874037e-27, 8.208283500874037e-27, 3.1400402708354674e-25], \""df\"": 351.80312671491305, \""label\"": null}"", ""flag"": ""best value set""}"
gr1000b, 1000.015746(56),"{""relu"": 0.01, ""name"": ""GR1000B"", ""nom_cap"": [0.0, 1e-09], ""yhv"": [0.0, 1.386e-09], ""ylv"": [0.0, 0.0], ""ang_freq"": 10000.0, ""best_value"": ""{\""xreal\"": 7.414323376005613e-11, \""ximag\"": 1.0000157456901571e-05, \""u\"": [9.376410339870865e-13, 5.603517264031856e-13], \""v\"": [8.791707086163729e-25, 8.207816656425437e-27, 8.207816656425437e-27, 3.1399405728303056e-25], \""df\"": 351.8071219969267, \""label\"": null}"", ""flag"": ""best value set""}"
