Date,21-Sep-21
Reference,Minyu ...
w,1.00E+04
r1,1.108994,-0.187026
r2,0.814684,-0.168796
r3,0.073790,-0.147565
r4,0.008593,-0.156145
r5,0.011783,-0.167645
r6,0.008903,-0.152105
r7,0.006243,-0.131839
r8,0.219223,-0.168761
r9,0.006873,-0.105360
r10,0.010093,-0.161230
r11,0.013533,-0.171904
r12,0.006653,-0.171044
r13,-0.414703,-0.158401
r14,-0.317453,-0.112795
r15,-0.163233,-0.108045
Conditions
AH1,28.3,0.029
AH2,28.4,0.029
GRin,23.84494,0.00042
GRout,23.82453,0.00083
AB1,20.00,0.01
Sball,23.0366,0.0057
Perm,23.7039,0.0022
Barom,1011.58,0.05
